ID,Asteroid1.12,Asteroid2.12,Asteroid3.12,Asteroid4.12,Asteroid5.12,Treatment1.12,Treatment2.12,Treatment3.12,Treatment4.12,Treatment5.12,UncontrollableRisk1.18,UncontrollableRisk2.18,UncontrollableRisk3.18,EffortSurvival.18,ImportantSurvive.18,Wealth.12,SSES.12,Age.1,Education.1,CFC.Future.9,CFC.Immediate.9,SoPA.9,SoNA.9,LifeOrientation.10,Sex.1
261,,,,,,,,,,,,,,,,,,60.0,5,43.0,10.0,6.0,1.0,13.5,2.0
262,,,,,,,,,,,,,,,,,,51.0,3,33.0,23.0,3.833333333,2.0,,2.0
263,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,-1.289380659,4.0,42.0,3,32.0,20.0,6.666666667,1.714285714,3.0,2.0
264,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,0.533842545,7.0,67.0,6,38.0,22.0,6.5,1.0,,2.0
265,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,50.0,40.0,19.0,9.0,11.0,0.317965731,7.0,54.0,5,46.0,13.0,5.833333333,1.714285714,,1.0
266,,,,,,,,,,,100.0,77.0,61.0,80.0,10.0,,,42.0,6,,,,,,2.0
267,,,,,,,,,,,,,,,,,,69.0,5,,,,,,1.0
268,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,99.0,94.0,5.0,70.0,9.0,0.769622126,7.0,44.0,6,40.0,22.0,6.666666667,1.571428571,11.0,2.0
269,,,,,,,,,,,,,,,,,,41.0,7,42.0,35.0,6.166666667,1.857142857,,2.0
270,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,80.0,82.0,19.0,51.0,11.0,-0.301873705,,63.0,2,32.0,32.0,6.166666667,1.0,14.5,2.0
271,,,,,,,,,,,,,,,,,,44.0,6,,,,,,2.0
272,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,-0.409966077,6.0,24.0,5,,,,,,2.0
273,,,,,,,,,,,,,,,,,,44.0,3,22.0,36.0,5.5,1.428571429,,2.0
274,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,91.0,82.0,23.0,30.0,8.0,0.949409121,6.0,77.0,3,31.0,26.0,6.166666667,1.285714286,14.0,1.0
275,,,,,3.0,,,,,2.0,100.0,60.0,100.0,50.0,11.0,1.165285935,6.0,47.0,3,,,,,,2.0
276,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,42.0,40.0,71.0,50.0,11.0,-1.449264888,4.0,51.0,5,49.0,10.0,4.166666667,2.0,12.5,2.0
277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,0.0,10.0,-0.9696122,3.0,43.0,3,13.0,39.0,6.666666667,1.571428571,6.5,2.0
278,,,,,,,,,,,,,,,,,,43.0,3,,,,,,2.0
279,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,95.0,5.0,30.0,70.0,11.0,,5.0,65.0,3,33.0,15.0,6.5,1.571428571,,2.0
280,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,,0.529744461,7.0,50.0,7,44.0,16.0,4.666666667,1.142857143,10.5,2.0
281,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,,7.0,33.0,5,39.0,22.0,6.166666667,2.0,,2.0
282,,,,,,,,,,,0.0,,72.0,0.0,1.0,,,54.0,6,,,,,,2.0
283,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,92.0,93.0,9.0,31.0,11.0,-0.373568329,2.0,50.0,3,35.0,14.0,5.333333333,1.428571429,8.0,2.0
284,,,,,,,,,,,100.0,100.0,1.0,0.0,11.0,,,51.0,2,40.0,22.0,6.166666667,1.0,11.0,2.0
285,,,,,,,,,,,50.0,10.0,75.0,80.0,11.0,,,74.0,5,35.0,29.0,3.5,2.142857143,7.0,2.0
286,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,90.0,50.0,60.0,15.0,10.0,,1.0,28.0,3,,,,,,1.0
287,,,,,,,,,,,,,,,,,,61.0,6,,,,,,1.0
288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,-1.449264888,2.0,24.0,2,43.0,9.0,5.833333333,1.0,4.0,2.0
289,2.0,2.0,2.0,3.0,3.0,,,,,3.0,75.0,34.0,25.0,75.0,9.0,,,61.0,4,30.0,20.0,3.833333333,1.857142857,13.5,2.0
290,,,,,,,,,,,,,,,,,,54.0,3,,,,,,2.0
291,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,1.297173872,6.0,39.0,6,49.0,8.0,7.0,1.0,,2.0
292,,,,,,,,,,,,,,,,,,23.0,3,,,,,,1.0
293,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,100.0,100.0,2.0,0.0,8.0,-1.017305973,3.0,51.0,3,33.0,25.0,6.5,1.428571429,5.0,1.0
294,,,,,,,,,,,,,,,,,,59.0,4,,,,,,1.0
295,,,,,,,,,,,,,,,,,,32.0,5,,,,,,2.0
296,,,,,,,,,,,,,,,,,,61.0,5,,,,,,2.0
297,,,,,,,,,,,,,,,,,,42.0,3,,,,,,2.0
298,,,,,,,,,,,81.0,49.0,50.0,28.0,9.0,,,70.0,7,,,,,,1.0
299,1.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,51.0,30.0,71.0,100.0,11.0,,8.0,70.0,4,33.0,15.0,6.333333333,1.428571429,14.0,2.0
300,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,52.0,71.0,60.0,71.0,10.0,0.92540827,6.0,55.0,5,39.0,23.0,7.0,1.0,12.0,2.0
301,,,,,,,,,,,,,,,,,,42.0,3,,,,,,2.0
302,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,80.0,60.0,60.0,70.0,10.0,-1.449264888,3.0,62.0,3,35.0,17.0,3.333333333,3.714285714,4.0,2.0
303,,,,,,,,,,,,,,,,,,34.0,5,,,,,,1.0
304,,,,,,,,,,,,,,,,,,26.0,5,,,,,,1.0
305,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,81.0,3.0,30.0,90.0,9.0,-1.021506701,3.0,74.0,5,37.0,18.0,4.666666667,2.857142857,7.5,1.0
306,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,4.0,50.0,5,,,,,,1.0
307,,,,,,,,,,,,,,,,,,37.0,6,,,,,,1.0
308,,,,,,,,,,,,,,,,,,24.0,6,,,,,,2.0
309,,,,,,,,,,,,,,,,,,20.0,3,16.0,39.0,2.333333333,4.142857143,10.0,1.0
310,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,95.0,70.0,25.0,75.0,10.0,0.050091773,5.0,62.0,3,35.0,17.0,6.0,1.0,14.0,2.0
311,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.748830267,9.0,41.0,6,47.0,17.0,5.166666667,1.714285714,14.0,1.0
312,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,,,,,10.0,-0.189785892,5.0,71.0,5,,14.0,6.0,1.0,15.0,1.0
313,,,,,,,,,,,100.0,50.0,1.0,40.0,11.0,,,57.0,3,36.0,17.0,3.833333333,2.571428571,12.0,2.0
314,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,100.0,51.0,50.0,60.0,11.0,1.269177579,5.0,57.0,4,41.0,13.0,5.833333333,2.142857143,15.0,2.0
315,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,75.0,95.0,1.0,0.0,6.0,-0.569850306,3.0,67.0,3,24.0,34.0,4.5,1.857142857,7.0,1.0
316,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,40.0,100.0,1.0,8.0,-0.513755078,3.0,63.0,3,34.0,22.0,6.333333333,2.142857143,10.0,2.0
317,,,,,,,,,,,,,,,,,,45.0,2,,,,,,1.0
